GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13
Id,Id2,Geography,Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars)
8600000US01066,01066,ZCTA5 01066,-,**,-,**,-,**,-,**
8600000US01068,01068,ZCTA5 01068,85052,5112,90268,5230,102885,6643,50000,12746
8600000US01069,01069,ZCTA5 01069,57994,9347,77353,12442,97592,11448,30389,7696
8600000US01070,01070,ZCTA5 01070,55208,6190,64250,9255,68000,7610,41000,14144
8600000US01071,01071,ZCTA5 01071,70938,4046,81071,14745,90536,21722,46422,3824
8600000US01072,01072,ZCTA5 01072,75658,8836,94135,8415,115833,20110,41583,14187
8600000US01073,01073,ZCTA5 01073,90318,12665,103616,12902,123125,25123,47155,15573
8600000US01074,01074,ZCTA5 01074,-,**,-,**,-,**,-,**
8600000US01075,01075,ZCTA5 01075,61821,5340,78077,5636,97003,6839,35203,6270
8600000US01077,01077,ZCTA5 01077,76576,7429,92059,15732,101488,12218,37088,9258
8600000US01079,01079,ZCTA5 01079,31778,9721,44208,24255,41406,20111,25707,14988
8600000US01080,01080,ZCTA5 01080,51023,15647,47350,13503,59632,25901,38523,31029
8600000US01081,01081,ZCTA5 01081,51182,7989,62727,8254,72321,7584,21950,3008
8600000US01082,01082,ZCTA5 01082,52178,5465,71117,7203,85000,14006,30231,6837
8600000US01083,01083,ZCTA5 01083,45954,12333,-,**,81461,9776,20054,4994
8600000US01084,01084,ZCTA5 01084,68750,27644,81667,36087,85000,33591,-,**
8600000US01085,01085,ZCTA5 01085,63283,3661,80314,4367,90658,4839,35274,4331
8600000US01086,01086,ZCTA5 01086,-,**,-,**,-,**,-,**
8600000US01088,01088,ZCTA5 01088,61875,21322,55769,20694,54219,44575,60875,29753
8600000US01089,01089,ZCTA5 01089,50649,4263,66864,5944,83783,3625,34606,5214
8600000US01092,01092,ZCTA5 01092,77150,49525,77250,44031,101359,26520,-,**
8600000US01093,01093,ZCTA5 01093,84167,42928,119167,43868,119167,41904,72750,36692
8600000US01094,01094,ZCTA5 01094,18454,11326,93472,20930,94306,6376,15990,2927
8600000US01095,01095,ZCTA5 01095,95679,11427,110618,7992,115677,9242,29462,5605
8600000US01096,01096,ZCTA5 01096,73589,8564,84476,6033,92917,13155,35694,6668
8600000US01097,01097,ZCTA5 01097,31250,29190,-,**,-,**,-,**
8600000US01098,01098,ZCTA5 01098,77083,8902,95156,7610,98409,6560,45769,20104
8600000US01103,01103,ZCTA5 01103,16760,3042,15079,3406,-,**,20625,9216
8600000US01104,01104,ZCTA5 01104,28590,3444,34409,5129,47332,9807,20051,3191
8600000US01105,01105,ZCTA5 01105,16455,2290,17942,3200,34537,7890,12408,1309
8600000US01106,01106,ZCTA5 01106,105822,8295,122404,14016,134340,8170,43542,12261
8600000US01107,01107,ZCTA5 01107,22956,3259,28880,4382,46324,11693,12229,2055
8600000US01108,01108,ZCTA5 01108,36890,4035,37487,4608,61125,6009,25016,6413
8600000US01109,01109,ZCTA5 01109,35076,2693,37463,2157,64886,10531,20594,4059
8600000US01118,01118,ZCTA5 01118,60295,6966,62232,9836,86375,7951,44955,10672
8600000US01119,01119,ZCTA5 01119,49083,7755,56250,5396,74662,6453,28193,5157
8600000US01128,01128,ZCTA5 01128,70078,16520,92738,23403,95435,4603,53162,6805
8600000US01129,01129,ZCTA5 01129,60776,6244,69385,5479,76554,7049,38311,8252
8600000US01151,01151,ZCTA5 01151,36541,5265,40177,3265,60000,16264,22069,3413
8600000US01199,01199,ZCTA5 01199,-,**,-,**,-,**,-,**
8600000US01201,01201,ZCTA5 01201,45893,1891,61736,3855,80750,3655,28757,1813
8600000US01220,01220,ZCTA5 01220,48422,3201,63394,3741,74837,10318,34560,3102
8600000US01222,01222,ZCTA5 01222,76944,11475,79737,10339,76111,7491,44722,36025
8600000US01223,01223,ZCTA5 01223,72981,8912,80256,2872,87045,9329,46500,13129
8600000US01224,01224,ZCTA5 01224,36324,9917,-,**,-,**,36581,9110
8600000US01225,01225,ZCTA5 01225,58145,7069,72652,9809,85391,9734,33611,12560
8600000US01226,01226,ZCTA5 01226,57202,9271,69065,6767,83646,12291,31625,15895
8600000US01229,01229,ZCTA5 01229,27083,24178,-,**,-,**,11328,983
8600000US01230,01230,ZCTA5 01230,59702,9469,84658,4814,96500,11181,36715,5938
8600000US01235,01235,ZCTA5 01235,60718,5506,71806,6980,76477,8018,39722,10590
8600000US01236,01236,ZCTA5 01236,80385,24275,86068,23633,98472,35426,-,**
8600000US01237,01237,ZCTA5 01237,83311,11965,92417,21172,112917,19989,28281,16615
8600000US01238,01238,ZCTA5 01238,63109,7890,77438,13179,93750,16143,34334,5270
8600000US01240,01240,ZCTA5 01240,54250,12439,106929,15542,115804,11155,29167,11821
8600000US01242,01242,ZCTA5 01242,56840,30939,-,**,83162,58661,56417,40111
8600000US01243,01243,ZCTA5 01243,76250,25682,91667,34878,106250,29134,51042,37807
8600000US01244,01244,ZCTA5 01244,-,**,150114,92984,151250,19539,-,**
8600000US01245,01245,ZCTA5 01245,66136,18182,74028,16134,81641,18922,39712,9058
8600000US01247,01247,ZCTA5 01247,38007,3679,54897,5330,70182,7127,21211,3207
8600000US01253,01253,ZCTA5 01253,71010,2731,82167,7576,84583,18923,27917,13434
8600000US01254,01254,ZCTA5 01254,89583,29362,115556,16258,119375,10472,48750,15128
8600000US01255,01255,ZCTA5 01255,67333,9791,79792,21557,90938,15797,42396,12960
8600000US01256,01256,ZCTA5 01256,49000,9669,64205,7510,75625,12624,23750,2075
8600000US01257,01257,ZCTA5 01257,50688,23542,78672,21551,82039,18643,32115,18949
8600000US01258,01258,ZCTA5 01258,65739,10693,95625,29323,100481,15938,32500,28471
8600000US01259,01259,ZCTA5 01259,61125,20302,115313,66925,126953,18771,48750,12520
8600000US01260,01260,ZCTA5 01260,101979,65087,-,**,134167,82333,-,**
8600000US01262,01262,ZCTA5 01262,45500,16499,64167,25412,82917,51093,30988,6682
8600000US01264,01264,ZCTA5 01264,75417,36456,81250,59032,81875,69843,69375,43167
8600000US01266,01266,ZCTA5 01266,68542,11740,96250,22025,111442,23212,49107,17270
8600000US01267,01267,ZCTA5 01267,73085,7942,94293,12316,104375,11910,50046,16358
8600000US01270,01270,ZCTA5 01270,71250,11481,91250,14147,103000,13331,30938,7507
8600000US01301,01301,ZCTA5 01301,49024,3279,68225,5591,78927,3953,30026,3002
8600000US01330,01330,ZCTA5 01330,79118,8711,92500,10818,96354,12828,45556,10113
8600000US01331,01331,ZCTA5 01331,51750,5521,63636,11276,82564,6515,31472,7479
8600000US01337,01337,ZCTA5 01337,65139,3140,79063,12638,85288,11997,36971,4731
8600000US01338,01338,ZCTA5 01338,66375,17876,70000,14316,70000,14316,-,**
